	Unnamed: 0.1	Unnamed: 0	INDEX	form	lemma	xpos	syllables	stress	phon
1580	1580	2976	2976	șubeici	șubeică	Ncfp-n	șu.beici	șub'eici	S u b e j tS
1586	1586	2982	2982	șubeică	=	Ncfsrn	șu.be.i.că	șub'eică	S u b e i k @
1989	1989	3739	3739	țițeici	țițeică	Ncfp-n	ți.țeici	țiț'eici	ts i ts e j tS
1994	1994	3744	3744	țițeică	=	Ncfsrn	ți.țe.i.că	țiț'eică	ts i ts e i k @
2238	2238	4311	4311	țuhaus	=	Ncm--n	țu.haus	țuh'aus	ts u h a w s
2242	2242	4315	4315	țuhausuri	țuhaus	Ncfp-n	țu.ha.u.suri	țuh'ausuri	ts u h a u s u r i_0
4753	4753	25411	25411	alămâi	alămâie	Ncfp-n	a.lă.mâi	alăm'âi	a l @ m 1 j
4756	4756	25414	25414	alămâie	=	Ncfsrn	a.lă.mâ.ie	alăm'âie	a l @ m 1 j e
5710	5710	28262	28262	ambient	=	Ncms-n	am.bi.ent	ambi'ent	a m b i e n t
5716	5716	28282	28282	ambienturi	ambient	Ncfp-n	am.bien.turi	ambi'enturi	a m b j e n t u r i_0
5970	5970	28989	28989	amiază	=	Ncfsrn	a.mia.ză	ami'ază	a m j a z @
5989	5989	29021	29021	amiezi	amiază	Ncfp-n	a.mi.ezi	ami'ezi	a m i e z i_0
6016	6016	29048	29048	aminoalcool	=	Ncms-n	a.mi.no.al.co.ol	aminoalco'ol	a m i n o a l k o o l
6017	6017	29049	29049	aminoalcooli	aminoalcool	Ncmp-n	a.mi.noal.co.oli	aminoalco'oli	a m i n o_X a l k o o l i_0
7069	7069	32322	32322	antiinflamator	=	Ncms-n	an.ti.in.fla.ma.tor	antiinflamat'or	a n t i i n f l a m a t o r
7070	7070	32324	32324	antiinflamatori	antiinflamator	Ncmp-n	an.tiin.fla.ma.tori	antiinflamat'ori	a n t i j n f l a m a t o r i_0
7967	7967	35215	35215	aramean	=	Ncms-n	a.ra.me.an	arame'an	a r a m e a n
7968	7968	35226	35226	arameeni	aramean	Ncmp-n	a.ra.me.eni	aram'eeni	a r a m e e n i_0
9724	9724	40371	40371	aureală	=	Ncfsrn	a.u.re.a.lă	aure'ală	a u r e a l @
9727	9727	40385	40385	aureli	aureală	Ncfp-n	a.u.reli	aur'eli	a u r e l i_0
10158	10158	41682	41682	autohtone	autohtonă	Ncfp-n	a.u.toh.to.ne	autoht'one	a u t o h t o n e
10163	10163	41695	41695	autohtonă	=	Ncfsrn	au.toh.to.nă	autoht'onă	a w t o h t o n @
10675	10675	43201	43201	aviație	=	Ncfsrn	a.vi.a.ți.e	avi'ație	a v i a ts i e
10677	10677	43203	43203	aviații	aviație	Ncfp-n	a.via.ții	avi'ații	a v j a ts i j
10922	10922	43915	43915	băi	baie	Ncfp-n	băi	b'ăi	b @ j
11193	11193	44604	44604	bătăi	bătaie	Ncfp-n	bă.tăi	băt'ăi	b @ t @ j
11227	11227	44684	44684	bătaie	=	Ncfsrn	bă.ta.ie	băt'aie	b @ t a j e
11465	11465	45183	45183	baie	=	Ncfsrn	ba.ie	b'aie	b a j e
13497	13497	49694	49694	bobăici	bobaică	Ncfp-n	bo.băici	bob'ăici	b o b @ j tS
13504	13504	49701	49701	bobaice	bobaică	Ncfp-n	bo.bai.ce	bob'aice	b o b a j tS e
13507	13507	49704	49704	bobaică	=	Ncfsrn	bo.ba.i.că	bob'aică	b o b a i k @
13767	13767	50227	50227	boldeici	boldeică	Ncfp-n	bol.deici	bold'eici	b o l d e j tS
13772	13772	50232	50232	boldeică	=	Ncfsrn	bol.de.i.că	bold'eică	b o l d e i k @
14400	14400	51644	51644	brezaie	=	Ncfsrn	bre.za.ie	brez'aie	b r e z a j e
14401	14401	51650	51650	brezăi	brezaie	Ncfp-n	bre.zăi	brez'ăi	b r e z @ j
14767	14767	52544	52544	bucălaie	=	Ncfsrn	bu.că.la.ie	bucăl'aie	b u k @ l a j e
14769	14769	52546	52546	bucălăi	bucălaie	Ncfp-n	bu.că.lăi	bucăl'ăi	b u k @ l @ j
15159	15159	53483	53483	bunăvoi	bunăvoie	Ncfp-n	bu.nă.voi	bunăv'oi	b u n @ v o j
15162	15162	53486	53486	bunăvoie	=	Ncfsrn	bu.nă.vo.ie	bunăv'oie	b u n @ v o j e
16282	16282	56243	56243	cațaveici	cațaveică	Ncfp-n	ca.ța.veici	cațav'eici	k a ts a v e j tS
16288	16288	56249	56249	cațaveică	=	Ncfsrn	ca.ța.ve.i.că	cațav'eică	k a ts a v e i k @
17350	17350	58338	58338	capichehaie	=	Ncfsrn	ca.pi.che.ha.ie	capicheh'aie	k a p i k_j e h a j e
17351	17351	58339	58339	capichehăi	capichehaie	Ncfp-n	ca.pi.che.hăi	capicheh'ăi	k a p i k_j e h @ j
17846	17846	59394	59394	carioci	cariocă	Ncfp-n	ca.ri.oci	cari'oci	k a r i o tS
17851	17851	59399	59399	cariocă	=	Ncfsrn	ca.rio.că	cari'ocă	k a r j o k @
18119	18119	59876	59876	casierie	=	Ncfsrn	ca.si.e.ri.e	casier'ie	k a s i e r i e
18122	18122	59879	59879	casierii	casierie	Ncfp-n	ca.sie.rii	casier'ii	k a s j e r i j
19411	19411	63116	63116	chei	cheie	Ncfp-n	chei	chei	k_j e j
19414	19414	63120	63120	cheie	=	Ncfsrn	che.ie	ch'eie	k_j e j e
20936	20936	66411	66411	ciumăfaie	=	Ncfsrn	ciu.mă.fa.ie	ciumăf'aie	tS u m @ f a j e
20941	20941	66416	66416	ciumăfăi	ciumăfaie	Ncfp-n	ciu.mă.făi	ciumăf'ăi	tS u m @ f @ j
21044	21044	66880	66880	clădăraie	=	Ncfsrn	clă.dă.ra.ie	clădăr'aie	k l @ d @ r a j e
21045	21045	66881	66881	clădărăi	clădăraie	Ncfp-n	clă.dă.răi	clădăr'ăi	k l @ d @ r @ j
