d_in	d_out	before	after	key1	key2	desin1	desin2	stress change
a	@	n	r	abandonare|=|Ncfsrn|3	abandonări|abandonare|Ncfp-n|3	e	i_0	FALSE
a	@	k	r	abdicare|=|Ncfsrn|2	abdicări|abdicare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	abilitare|=|Ncfsrn|3	abilitări|abilitare|Ncfp-n|3	e	i_0	FALSE
a	@	t	t	abilitate|=|Ncfsrn|3	abilități|abilitate|Ncfp-n|3	e	i_0	FALSE
a	@	d	r	abordare|=|Ncfsrn|2	abordări|abordare|Ncfp-n|2	e	i_0	FALSE
a	@	g	r	abrogare|=|Ncfsrn|2	abrogări|abrogare|Ncfp-n|2	e	i_0	FALSE
a	e	i	n	academician|=|Ncms-n|5	academicieni|academician|Ncmp-n|5		i_0	FALSE
a	@	r	r	accelerare|=|Ncfsrn|3	accelerări|accelerare|Ncfp-n|3	e	i_0	FALSE
a	@	u	r	accentuare|=|Ncfsrn|3	accentuări|accentuare|Ncfp-n|3	e	i_0	FALSE
a	@	t	r	acceptare|=|Ncfsrn|2	acceptări|acceptare|Ncfp-n|2	e	i_0	FALSE
a	@	s	r	accesare|=|Ncfsrn|2	accesări|accesare|Ncfp-n|2	e	i_0	FALSE
a	@	t	t	accesibilitate|=|Ncfsrn|5	accesibilități|accesibilitate|Ncfp-n|5	e	i_0	FALSE
a	@	t	r	accidentare|=|Ncfsrn|3	accidentări|accidentare|Ncfp-n|3	e	i_0	FALSE
a	@	z	r	accizare|=|Ncfsrn|2	accizări|accizare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	achitare|=|Ncfsrn|2	achitări|achitare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	achitare|=|Ncfsrn|2	architări|achitare|Ncfp-n|2	e	i_0	FALSE
a	@	n	r	achiziționare|=|Ncfsrn|5	achiziționări|achiziționare|Ncfp-n|5	e	i_0	FALSE
a	@	z	r	aclimatizare|=|Ncfsrn|4	aclimatizări|aclimatizare|Ncfp-n|4	e	i_0	FALSE
a	@	d	r	acomodare|=|Ncfsrn|3	acomodări|acomodare|Ncfp-n|3	e	i_0	FALSE
a	@	d	r	acordare|=|Ncfsrn|2	acordări|acordare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	acostare|=|Ncfsrn|2	acostări|acostare|Ncfp-n|2	e	i_0	FALSE
a	@	t	r	acreditare|=|Ncfsrn|3	acreditări|acreditare|Ncfp-n|3	e	i_0	FALSE
a	e	i	n	actinopterigian|=|Ncms-n|6	actinopterigieni|actinopterigian|Ncmp-n|6		i_0	FALSE
a	@	v	r	activare|=|Ncfsrn|2	activări|activare|Ncfp-n|2	e	i_0	FALSE
