	input_form	input_syll	input_des	output_form	output_syll	output_des	input_index	output_index	change_sequences
0	triște	tr'iș.te	e	triști	tr'iști	i	296054	296058	^/^ t/t r/r 'i/'i ș/ș t/t $/$
1	turbulență	tur.bu.l'en.ță	ă	turbulențe	tur.bu.l'en.țe	e	298158	298150	^/^ t/t u/u r/r b/b u/u l/l 'e/'e n/n ț/ț $/$
2	binevoitor	bi.ne.vo.i.t'or		binevoitori	bi.ne.vo.i.t'ori	i	48267	48270	^/^ b/b i/i n/n e/e v/v o/o i/i t/t 'o/'o r/r $/$
3	studențime	stu.den.ț'i.me	e	studențimi	stu.den.ț'imi	i	280044	280046	^/^ s/s t/t u/u d/d e/e n/n ț/ț 'i/'i m/m $/$
4	hlamidă	hla.m'i.dă	ă	hlamide	hla.m'i.de	e	143193	143188	^/^ h/h l/l a/a m/m 'i/'i d/d $/$
5	îndemn	în.d'emn		îndemnuri	în.d'em.nuri	uri	320650	320702	^/^ î/î n/n d/d 'e/'e m/m n/n $/$
6	iță	'i.ță	ă	ițe	'i.țe	e	144990	144952	^/^ 'i/'i ț/ț $/$
7	coleg	co.l'eg		colegi	co.l'egi	i	70145	70152	^/^ c/c o/o l/l 'e/'e g/g $/$
8	comunicator	co.mu.ni.ca.t'or		comunicatori	co.mu.ni.ca.t'ori	i	72993	72994	^/^ c/c o/o m/m u/u n/n i/i c/c a/a t/t 'o/'o r/r $/$
9	trudă	tr'u.dă	ă	trude	tr'u.de	e	297088	297090	^/^ t/t r/r 'u/'u d/d $/$
10	țapinar	ța.pi.n'ar		țapinari	ța.pi.n'ari	i	3513	3514	^/^ ț/ț a/a p/p i/i n/n 'a/'a r/r $/$
11	hematospectroscopie	he.ma.tos.pec.tros.co.p'i.e	e	hematospectroscopii	he.ma.tos.pec.tros.co.p'ii	i	141872	141874	^/^ h/h e/e m/m a/a t/t o/o s/s p/p e/e c/c t/t r/r o/o s/s c/c o/o p/p 'i/'i $/$
12	urăciune	u.ră.ci'u.ne	e	urăciuni	u.ră.ci'uni	i	301430	301432	^/^ u/u r/r ă/ă c/c i/i 'u/'u n/n $/$
13	bulhac	bul.h'ac		bulhace	bul.h'a.ce	e	53311	53312	^/^ b/b u/u l/l h/h 'a/'a c/c $/$
14	autoaccidentare	a.u.to.ac.ci.den.t'a.re	e	autoaccidentări	a.u.to.ac.ci.den.t'ări	i	40726	40755	^/^ a/a u/u t/t o/o a/a c/c c/c i/i d/d e/e n/n t/t 'a/'ă r/r $/$
15	desfășurător	des.fă.șu.ră.t'or		desfășurătoare	des.fă.șu.ră.to'a.re	e	98916	98913	^/^ d/d e/e s/s f/f ă/ă ș/ș u/u r/r ă/ă t/t 'o/o'a r/r $/$
16	bubuitură	bu.bu.i.t'u.ră	ă	bubuituri	bu.bu.i.t'uri	i	52455	52450	^/^ b/b u/u b/b u/u i/i t/t 'u/'u r/r $/$
17	culturalizare	cul.tu.ra.li.z'a.re	e	culturalizări	cul.tu.ra.li.z'ări	i	85862	85865	^/^ c/c u/u l/l t/t u/u r/r a/a l/l i/i z/z 'a/'ă r/r $/$
18	jelț	j'elț		jelțuri	j'el.țuri	uri	160630	160639	^/^ j/j 'e/'e l/l ț/ț $/$
19	siguranță	si.gu.r'an.ță	ă	siguranțe	si.gu.r'an.țe	e	269228	269222	^/^ s/s i/i g/g u/u r/r 'a/'a n/n ț/ț $/$
20	plănuire	plă.nu.'i.re	e	plănuiri	plă.nu.'iri	i	220381	220383	^/^ p/p l/l ă/ă n/n u/u 'i/'i r/r $/$
21	atitudine	a.ti.t'u.di.ne	e	atitudini	a.ti.t'u.dini	i	39584	39586	^/^ a/a t/t i/i t/t 'u/'u d/d i/i n/n $/$
22	bolid	bo.l'id		bolizi	bo.l'izi	i	50283	50319	^/^ b/b o/o l/l 'i/'i d/z $/$
23	șustă	ș'us.tă	ă	șuste	ș'us.te	e	3156	3150	^/^ ș/ș 'u/'u s/s t/t $/$
24	constatare	con.sta.t'a.re	e	constatări	con.sta.t'ări	i	76746	76733	^/^ c/c o/o n/n s/s t/t a/a t/t 'a/'ă r/r $/$
25	cucuvaie	cu.cu.v'a.ie	ie	cucuvăi	cu.cu.v'ăi	i	85206	85223	^/^ c/c u/u c/c u/u v/v 'a/'ă $/$
26	crocodil	cro.co.d'il		crocodili	cro.co.d'ili	i	84031	84032	^/^ c/c r/r o/o c/c o/o d/d 'i/'i l/l $/$
27	motocicletă	mo.to.ci.cl'e.tă	ă	motociclete	mo.to.ci.cl'e.te	e	182511	182506	^/^ m/m o/o t/t o/o c/c i/i c/c l/l 'e/'e t/t $/$
28	neurologie	ne.u.ro.lo.g'i.e	e	neurologii	ne.u.ro.lo.g'ii	i	199450	199453	^/^ n/n e/e u/u r/r o/o l/l o/o g/g 'i/'i $/$
29	nevastă	ne.v'as.tă	ă	neveste	ne.v'es.te	e	199651	199684	^/^ n/n e/e v/v 'a/'e s/s t/t $/$
30	țimbal	țim.b'al		țimbale	țim.b'a.le	e	3856	3857	^/^ ț/ț i/i m/m b/b 'a/'a l/l $/$
31	țimbal	țim.b'al		țimbaluri	țim.b'a.luri	uri	3856	3862	^/^ ț/ț i/i m/m b/b 'a/'a l/l $/$
32	nomenclator	no.men.cla.t'or		nomenclatoare	no.men.cla.to'a.re	e	201360	201357	^/^ n/n o/o m/m e/e n/n c/c l/l a/a t/t 'o/o'a r/r $/$
33	studiere	stu.di.'e.re	e	studieri	stu.di.'eri	i	280094	280097	^/^ s/s t/t u/u d/d i/i 'e/'e r/r $/$
34	talisman	ta.lis.m'an		talismane	ta.lis.m'a.ne	e	287766	287767	^/^ t/t a/a l/l i/i s/s m/m 'a/'a n/n $/$
35	neplată	ne.pl'a.tă	ă	neplăți	ne.pl'ăți	i	197010	196991	^/^ n/n e/e p/p l/l 'a/'ă t/ț $/$
36	actinot	ac.ti.n'ot		actinoți	ac.ti.n'oți	i	20723	20726	^/^ a/a c/c t/t i/i n/n 'o/'o t/ț $/$
37	doc	d'oc		docuri	d'o.curi	uri	108687	108871	^/^ d/d 'o/'o c/c $/$
38	rubin	ru.b'in		rubine	ru.b'i.ne	e	258203	258204	^/^ r/r u/u b/b 'i/'i n/n $/$
39	rubin	ru.b'in		rubinuri	ru.b'i.nuri	uri	258203	258209	^/^ r/r u/u b/b 'i/'i n/n $/$
40	trilion	tri.li.'on		trilioane	tri.li.o'a.ne	e	296314	296311	^/^ t/t r/r i/i l/l i/i 'o/o'a n/n $/$
41	frizerie	fri.ze.r'i.e	e	frizerii	fri.ze.r'ii	i	131946	131949	^/^ f/f r/r i/i z/z e/e r/r 'i/'i $/$
42	gaică	g'ai.că	ă	găici	g'ăici	i	134459	133997	^/^ g/g 'a/'ă i/i c/c $/$
43	penă	p'e.nă	ă	pene	p'e.ne	e	215639	215803	^/^ p/p 'e/'e n/n $/$
44	ciurdă	ci'ur.dă	ă	ciurde	ci'ur.de	e	66614	66608	^/^ c/c i/i 'u/'u r/r d/d $/$
45	salon	sa.l'on		saloane	sa.lo'a.ne	e	261069	261066	^/^ s/s a/a l/l 'o/o'a n/n $/$
46	spențer	sp'en.țer		spențere	sp'en.țe.re	e	274641	274642	^/^ s/s p/p 'e/'e n/n ț/ț e/e r/r $/$
47	mâhnire	mâh.n'i.re	e	mâhniri	mâh.n'iri	i	184726	184729	^/^ m/m â/â h/h n/n 'i/'i r/r $/$
48	electron	e.lec.tr'on		electroni	e.lec.tr'oni	i	114567	114568	^/^ e/e l/l e/e c/c t/t r/r 'o/'o n/n $/$
49	tranzit	tran.z'it		tranzituri	tran.z'i.turi	uri	294988	295030	^/^ t/t r/r a/a n/n z/z 'i/'i t/t $/$
50	geamăt	ge'a.măt		gemete	g'e.me.te	e	135210	135326	^/^ g/g e'a/'e m/m ă/e t/t $/$
51	obligare	o.bli.g'a.re	e	obligări	o.bli.g'ări	i	203312	203280	^/^ o/o b/b l/l i/i g/g 'a/'ă r/r $/$
52	macaz	ma.c'az		macazuri	ma.c'a.zuri	uri	170209	170212	^/^ m/m a/a c/c 'a/'a z/z $/$
53	crustaceu	crus.ta.c'eu	u	crustacee	crus.ta.c'e.e	e	84558	84552	^/^ c/c r/r u/u s/s t/t a/a c/c 'e/'e $/$
54	crustaceu	crus.ta.c'eu	u	crustacei	crus.ta.c'ei	i	84558	84555	^/^ c/c r/r u/u s/s t/t a/a c/c 'e/'e $/$
55	păpușă	pă.p'u.șă	ă	păpuși	pă.p'uși	i	210209	210193	^/^ p/p ă/ă p/p 'u/'u ș/ș $/$
56	administrație	ad.mi.nis.tr'a.ți.e	e	administrații	ad.mi.nis.tr'a.ții	i	22205	22208	^/^ a/a d/d m/m i/i n/n i/i s/s t/t r/r 'a/'a ț/ț i/i $/$
57	plic	pl'ic		plicuri	pl'i.curi	uri	221844	221928	^/^ p/p l/l 'i/'i c/c $/$
58	șliț	șl'iț		șlițuri	șl'i.țuri	uri	1455	1459	^/^ ș/ș l/l 'i/'i ț/ț $/$
59	deșănțare	de.șăn.ț'a.re	e	deșănțări	de.șăn.ț'ări	i	89786	89776	^/^ d/d e/e ș/ș ă/ă n/n ț/ț 'a/'ă r/r $/$
60	amortizare	a.mor.ti.z'a.re	e	amortizări	a.mor.ti.z'ări	i	29324	29360	^/^ a/a m/m o/o r/r t/t i/i z/z 'a/'ă r/r $/$
61	oligarhie	o.li.gar.h'i.e	e	oligarhii	o.li.gar.h'ii	i	205445	205448	^/^ o/o l/l i/i g/g a/a r/r h/h 'i/'i $/$
62	ohmmetru	ohm.m'e.tru	u	ohmmetre	ohm.m'e.tre	e	205330	205327	^/^ o/o h/h m/m m/m 'e/'e t/t r/r $/$
63	grenadier	gre.na.di.'er		grenadieri	gre.na.di.'eri	i	139031	139032	^/^ g/g r/r e/e n/n a/a d/d i/i 'e/'e r/r $/$
64	orchestră	or.ch'es.tră	ă	orchestre	or.ch'es.tre	e	207505	207493	^/^ o/o r/r c/c h/h 'e/'e s/s t/t r/r $/$
65	descântec	des.c'ân.tec		descântece	des.c'ân.te.ce	e	98519	98520	^/^ d/d e/e s/s c/c 'â/'â n/n t/t e/e c/c $/$
66	flotă	fl'o.tă	ă	flote	fl'o.te	e	128797	128778	^/^ f/f l/l 'o/'o t/t $/$
67	cent	c'ent		cenți	c'enți	i	61640	61620	^/^ c/c 'e/'e n/n t/ț $/$
68	felină	fe.l'i.nă	ă	feline	fe.l'i.ne	e	125293	125288	^/^ f/f e/e l/l 'i/'i n/n $/$
69	transfug	trans.f'ug		transfugi	trans.f'ugi	i	294246	294247	^/^ t/t r/r a/a n/n s/s f/f 'u/'u g/g $/$
70	tobogan	to.bo.g'an		tobogane	to.bo.g'a.ne	e	292109	292110	^/^ t/t o/o b/b o/o g/g 'a/'a n/n $/$
71	creanță	cre.'an.ță	ă	creanțe	cre.'an.țe	e	82918	82912	^/^ c/c r/r e/e 'a/'a n/n ț/ț $/$
72	mobilier	mo.bi.li.'er		mobiliere	mo.bi.li.'e.re	e	180028	180029	^/^ m/m o/o b/b i/i l/l i/i 'e/'e r/r $/$
73	neîncredere	ne.în.cr'e.de.re	e	neîncrederi	ne.în.cr'e.deri	i	200314	200316	^/^ n/n e/e î/î n/n c/c r/r 'e/'e d/d e/e r/r $/$
74	vânzoleală	vân.zo.le'a.lă	ă	vânzoleli	vân.zo.l'eli	i	309730	309731	^/^ v/v â/â n/n z/z o/o l/l e'a/'e l/l $/$
75	botroș	bo.tr'oș		botroși	bo.tr'oși	i	51152	51153	^/^ b/b o/o t/t r/r 'o/'o ș/ș $/$
76	adormit	a.dor.m'it		adormiți	a.dor.m'iți	i	22712	22733	^/^ a/a d/d o/o r/r m/m 'i/'i t/ț $/$
77	țistuitură	țis.tu.i.t'u.ră	ă	țistuituri	țis.tu.i.t'uri	i	4139	4134	^/^ ț/ț i/i s/s t/t u/u i/i t/t 'u/'u r/r $/$
78	reîncadrare	re.în.ca.dr'a.re	e	reîncadrări	re.în.ca.dr'ări	i	255678	255707	^/^ r/r e/e î/î n/n c/c a/a d/d r/r 'a/'ă r/r $/$
