	Unnamed: 0	form	lemma	xpos	syll	stress	phon	syll_count	comment	stress_syl	root	key
0	88	șălvirie	=	Ncfsrn	șăl.vi.ri.e	șălvir'ie	S @ l v i r i e	4		2	S @ l v i r i	șălvirie|=|Ncfsrn|2
1	97	șa	=	Ncfsrn	șa	șa	S a	1		0	S	șa|=|Ncfsrn|0
2	98	șașlâc	=	Ncms-n	șaș.lâc	șașl'âc	S a S l 1 k	2		1	S a S l 1 k	șașlâc|=|Ncms-n|1
3	108	șablon	=	Ncms-n	șa.blon	șabl'on	S a b l o n	2		1	S a b l o n	șablon|=|Ncms-n|1
4	109	șablonard	=	Afpms-n	șa.blo.nard	șablon'ard	S a b l o n a r d	3		2	S a b l o n a r d	șablonard|=|Afpms-n|2
5	126	șafar	=	Ncms-n	șa.far	ș'afar	S a f a r	2		0	S a f a r	șafar|=|Ncms-n|0
6	137	șagă	=	Ncfsrn	șa.gă	ș'agă	S a g @	2		0	S a g	șagă|=|Ncfsrn|0
7	138	șah	=	Ncms-n	șah	șah	S a h	1		0	S a h	șah|=|Ncms-n|0
8	147	șahzadea	=	Ncfsrn	șah.za.dea	șahzade'a	S a h z a d e_X a	3		2	S a h z a d e_X	șahzadea|=|Ncfsrn|2
9	155	șaică	=	Ncfsrn	șai.că	ș'aică	S a j k @	2		0	S a j k	șaică|=|Ncfsrn|0
10	172	șal	=	Ncms-n	șal	șal	S a l	1		0	S a l	șal|=|Ncms-n|0
11	174	șalanj	=	Ncm--n	șa.lanj	șal'anj	S a l a n Z	2		1	S a l a n Z	șalanj|=|Ncm--n|1
12	175	șalanj	=	Ncmsvn	șa.lanj	șal'anj	S a l a n Z	2		1	S a l a n Z	șalanj|=|Ncmsvn|1
13	182	șaltăr	=	Ncms-n	șal.tăr	ș'altăr	S a l t @ r	2		0	S a l t @ r	șaltăr|=|Ncms-n|0
14	197	șalupă	=	Ncfsrn	șa.lu.pă	șal'upă	S a l u p @	3		1	S a l u p	șalupă|=|Ncfsrn|1
15	204	șalvaragiu	=	Ncms-n	șal.va.ra.giu	șalvarag'iu	S a l v a r a gZ i w	4		3	S a l v a r a gZ i	șalvaragiu|=|Ncms-n|3
16	210	șalău	=	Ncms-n	șa.lău	șal'ău	S a l @ w	2		1	S a l @	șalău|=|Ncms-n|1
17	213	șaman	=	Ncms-n	șa.man	șam'an	S a m a n	2		1	S a m a n	șaman|=|Ncms-n|1
18	217	șamanism	=	Ncms-n	șa.ma.nism	șaman'ism	S a m a n i s m	3		2	S a m a n i s m	șamanism|=|Ncms-n|2
19	223	șamot	=	Ncms-n	șa.mot	șam'ot	S a m o t	2		1	S a m o t	șamot|=|Ncms-n|1
20	227	șampanie	=	Ncfsrn	șam.pa.ni.e	șamp'anie	S a m p a n i e	4		1	S a m p a n i	șampanie|=|Ncfsrn|1
21	234	șampaniza	=	Vmnp	șam.pa.ni.za	șampaniz'a	S a m p a n i z a	4		3	S a m p a n i z	șampaniza|=|Vmnp|3
22	268	șampon	=	Ncms-n	șam.pon	șamp'on	S a m p o n	2		1	S a m p o n	șampon|=|Ncms-n|1
23	274	șanț	=	Ncms-n	șanț	șanț	S a n ts	1		0	S a n ts	șanț|=|Ncms-n|0
24	287	șansă	=	Ncfsrn	șan.să	ș'ansă	S a n s @	2		0	S a n s	șansă|=|Ncfsrn|0
25	295	șantaj	=	Ncms-n	șan.taj	șant'aj	S a n t a Z	2		1	S a n t a Z	șantaj|=|Ncms-n|1
26	297	șantaja	=	Vmnp	șan.ta.ja	șantaj'a	S a n t a Z a	3		2	S a n t a Z	șantaja|=|Vmnp|2
27	301	șantajare	=	Ncfsrn	șan.ta.ja.re	șantaj'are	S a n t a Z a r e	4		2	S a n t a Z a r	șantajare|=|Ncfsrn|2
28	313	șantajat	=	Afpms-n	șan.ta.jat	șantaj'at	S a n t a Z a t	3		2	S a n t a Z a t	șantajat|=|Afpms-n|2
29	343	șantajist	=	Ncms-n	șan.ta.jist	șantaj'ist	S a n t a Z i s t	3		2	S a n t a Z i s t	șantajist|=|Ncms-n|2
30	356	șantier	=	Ncms-n	șan.ti.er	șanti'er	S a n t i e r	3		2	S a n t i e r	șantier|=|Ncms-n|2
31	364	șantung	=	Ncm--n	șan.tung	ș'antung	S a n t u n g	2		0	S a n t u n g	șantung|=|Ncm--n|0
32	365	șantung	=	Ncmsvn	șan.tung	ș'antung	S a n t u n g	2		0	S a n t u n g	șantung|=|Ncmsvn|0
33	380	șapcaliu	=	Afpms-n	șap.ca.liu	șapcal'iu	S a p k a l i w	3		2	S a p k a l i	șapcaliu|=|Afpms-n|2
34	383	șapcă	=	Ncfsrn	șap.că	ș'apcă	S a p k @	2		0	S a p k	șapcă|=|Ncfsrn|0
35	397	șarg	=	Ncms-n	șarg	șarg	S a r g	1		0	S a r g	șarg|=|Ncms-n|0
36	404	șarlatanie	=	Ncfsrn	șar.la.ta.ni.e	șarlatan'ie	S a r l a t a n i e	5		3	S a r l a t a n i	șarlatanie|=|Ncfsrn|3
37	410	șarm	=	Ncms-n	șarm	șarm	S a r m	1		0	S a r m	șarm|=|Ncms-n|0
38	416	șarpe	=	Ncms-n	șar.pe	ș'arpe	S a r p e	2		0	S a r p	șarpe|=|Ncms-n|0
39	428	șasla	=	Ncfsrn	șas.la	șasl'a	S a s l a	2		1	S a s l	șasla|=|Ncfsrn|1
40	436	șaten	=	Afpms-n	șa.ten	șat'en	S a t e n	2		1	S a t e n	șaten|=|Afpms-n|1
41	455	șatră	=	Ncfsrn	șa.tră	ș'atră	S a t r @	2		0	S a t r	șatră|=|Ncfsrn|0
42	473	șchioapă	=	Ncfsrn	șchioa.pă	șchio'apă	S k_j o_X a p @	2		0	S k_j o_X a p	șchioapă|=|Ncfsrn|0
43	478	șchiop	=	Afpms-n	șchiop	șchiop	S k_j o p	1		0	S k_j o p	șchiop|=|Afpms-n|0
44	481	șchiopăta	=	Vmnp	șchio.pă.ta	șchiopăt'a	S k_j o p @ t a	3		2	S k_j o p @ t	șchiopăta|=|Vmnp|2
45	513	școală	=	Ncfsrn	școa.lă	șco'ală	S k o_X a l @	2		0	S k o_X a l	școală|=|Ncfsrn|0
46	515	școlar	=	Afpms-n	șco.lar	școl'ar	S k o l a r	2		1	S k o l a r	școlar|=|Afpms-n|1
47	516	școlar	=	Ncms-n	șco.lar	școl'ar	S k o l a r	2		1	S k o l a r	școlar|=|Ncms-n|1
48	527	școlaritate	=	Ncfsrn	șco.la.ri.ta.te	școlarit'ate	S k o l a r i t a t e	5		3	S k o l a r i t a t	școlaritate|=|Ncfsrn|3
49	535	școlariza	=	Vmnp	șco.la.ri.za	școlariz'a	S k o l a r i z a	4		3	S k o l a r i z	școlariza|=|Vmnp|3
50	539	școlarizare	=	Ncfsrn	șco.la.ri.za.re	școlariz'are	S k o l a r i z a r e	5		3	S k o l a r i z a r	școlarizare|=|Ncfsrn|3
51	552	școlarizat	=	Afpms-n	șco.la.ri.zat	școlariz'at	S k o l a r i z a t	4		3	S k o l a r i z a t	școlarizat|=|Afpms-n|3
52	602	școli	=	Vmnp	șco.li	școl'i	S k o l i	2		1	S k o l	școli|=|Vmnp|1
53	621	școlit	=	Afpms-n	șco.lit	școl'it	S k o l i t	2		1	S k o l i t	școlit|=|Afpms-n|1
54	647	șcrabă	=	Ncfsrn	șcra.bă	șcr'abă	S k r a b @	2		0	S k r a b	șcrabă|=|Ncfsrn|0
55	658	ședea	=	Vmnp	șe.dea	șede'a	S e d e_X a	2		1	S e d	ședea|=|Vmnp|1
56	664	ședere	=	Ncfsrn	șe.de.re	șed'ere	S e d e r e	3		1	S e d e r	ședere|=|Ncfsrn|1
57	679	ședință	=	Ncfsrn	șe.din.ță	șed'ință	S e d i n ts @	3		1	S e d i n ts	ședință|=|Ncfsrn|1
58	680	șef	=	Ncms-n	șef	șef	S e f	1		0	S e f	șef|=|Ncms-n|0
59	689	șefie	=	Ncfsrn	șe.fi.e	șef'ie	S e f i e	3		1	S e f i	șefie|=|Ncfsrn|1
60	701	șefă	=	Ncfsrn	șe.fă	ș'efă	S e f @	2		0	S e f	șefă|=|Ncfsrn|0
61	704	șeic	=	Ncms-n	șe.ic	șe'ic	S e i k	2		1	S e i k	șeic|=|Ncms-n|1
62	715	șeih	=	Ncms-n	șe.ih	șe'ih	S e i h	2		1	S e i h	șeih|=|Ncms-n|1
63	724	șelf	=	Ncms-n	șelf	șelf	S e l f	1		0	S e l f	șelf|=|Ncms-n|0
64	732	șemineu	=	Ncms-n	șe.mi.neu	șemin'eu	S e m i n e w	3		2	S e m i n e	șemineu|=|Ncms-n|2
65	744	șenilă	=	Ncfsrn	șe.ni.lă	șen'ilă	S e n i l @	3		1	S e n i l	șenilă|=|Ncfsrn|1
66	750	șeptar	=	Ncms-n	șep.tar	șept'ar	S e p t a r	2		1	S e p t a r	șeptar|=|Ncms-n|1
67	757	șepte	=	Ncms-n	șep.te	ș'epte	S e p t e	2		0	S e p t	șepte|=|Ncms-n|0
68	758	șeptel	=	Ncms-n	șep.tel	șept'el	S e p t e l	2		1	S e p t e l	șeptel|=|Ncms-n|1
69	767	șerb	=	Ncms-n	șerb	șerb	S e r b	1		0	S e r b	șerb|=|Ncms-n|0
70	782	șerbetelniță	=	Ncfsrn	șer.be.tel.ni.ță	șerbet'elniță	S e r b e t e l n i ts @	5		2	S e r b e t e l n i ts	șerbetelniță|=|Ncfsrn|2
71	787	șerbi	=	Vmnp	șer.bi	șerb'i	S e r b i	2		1	S e r b	șerbi|=|Vmnp|1
72	790	șerbie	=	Ncfsrn	șer.bi.e	șerb'ie	S e r b i e	3		1	S e r b i	șerbie|=|Ncfsrn|1
73	819	șerif	=	Ncms-n	șe.rif	șer'if	S e r i f	2		1	S e r i f	șerif|=|Ncms-n|1
