	INDEX	form	lemma	xpos	syllables	stress	phon	err
1005	1005	șferii	șfară	Ncfsoy	șf.e.rii	șf'erii	S f e r i j	Syllable has no vowels
1008	1008	șfert	=	Ncms-n	șf.ert	șf'ert	S f e r t	Syllable has no vowels
1009	1009	șfertul	șfert	Ncmsry	șf.er.tul	șf'ertul	S f e r t u l	Syllable has no vowels
1010	1010	șfertului	șfert	Ncmsoy	șf.er.tu.lui	șf'ertului	S f e r t u l u j	Syllable has no vowels
1011	1011	șferturi	șfert	Ncfp-n	șf.er.turi	șf'erturi	S f e r t u r i_0	Syllable has no vowels
1012	1012	șferturile	șfert	Ncfpry	șf.er.tu.ri.le	șf'erturile	S f e r t u r i l e	Syllable has no vowels
1013	1013	șferturilor	șfert	Ncfpoy	șf.er.tu.ri.lor	șf'erturilor	S f e r t u r i l o r	Syllable has no vowels
2105	2105	șovârf	=	Ncms-n	șo.vâ.rf	șov'ârf	S o v 1 r f	Syllable has no vowels
2795	2795	știuci	știucă	Ncfp-n	știuci	știuci	S t i u tS	No stress mark but multiple syllables
2796	2796	știuci	știucă	Ncfson	știuci	știuci	S t i u tS	No stress mark but multiple syllables
17457	17457	așchierile	așchiere	Ncfpry	aș.chi.eri.le	așchi'erile	a S k_j i e r i l e	Too many vowel clusters
17458	17458	așchierilor	așchiere	Ncfpoy	aș.chi.eri.lor	așchi'erilor	a S k_j i e r i l o r	Too many vowel clusters
31307	31307	anorexiile	anorexie	Ncfpry	ano.re.xi.i.le	anorex'iile	a n o r e ks i i l e	Too many vowel clusters
31308	31308	anorexiilor	anorexie	Ncfpoy	ano.re.xi.i.lor	anorex'iilor	a n o r e ks i i l o r	Too many vowel clusters
38787	38787	astupații	astupat	Ncmpry	astu.pa.ții	astup'ații	a s t u p a ts i j	Too many vowel clusters
48192	48192	bineplăcut	=	Ncms-n	bine.plă.cut	bineplăc'ut	b i n e p l @ k u t	Too many vowel clusters
48193	48193	bineplăcutul	bineplăcut	Ncmsry	bine.plă.cu.tul	bineplăc'utul	b i n e p l @ k u t u l	Too many vowel clusters
48194	48194	bineplăcutului	bineplăcut	Ncmsoy	bine.plă.cu.tu.lui	bineplăc'utului	b i n e p l @ k u t u l u j	Too many vowel clusters
48195	48195	bineplăcuți	bineplăcut	Ncmp-n	bine.plă.cuți	bineplăc'uți	b i n e p l @ k u ts i_0	Too many vowel clusters
48196	48196	bineplăcuții	bineplăcut	Ncmpry	bine.plă.cu.ții	bineplăc'uții	b i n e p l @ k u ts i j	Too many vowel clusters
48197	48197	bineplăcuților	bineplăcut	Ncmpoy	bine.plă.cu.ți.lor	bineplăc'uților	b i n e p l @ k u ts i l o r	Too many vowel clusters
63966	63966	chineziterapeuți	chineziterapeut	Ncmp-n	chi.nezi.te.ra.peuți	chineziterape'uți	k_j i n e z i_0 t e r a p e u ts i_0	Too many vowel clusters
64962	64962	cincizecime	=	Ncfsrn	cinci.ze.ci.me	cincizec'ime	tS i n tS i z e tS i m e	Too many vowel clusters
64963	64963	cincizecimea	cincizecime	Ncfsry	cinci.ze.ci.mea	cincizec'imea	tS i n tS i z e tS i m e_X a	Too many vowel clusters
64964	64964	cincizecimi	cincizecime	Ncfp-n	cinci.ze.cimi	cincizec'imi	tS i n tS i z e tS i m i_0	Too many vowel clusters
64965	64965	cincizecimi	cincizecime	Ncfson	cinci.ze.cimi	cincizec'imi	tS i n tS i z e tS i m i_0	Too many vowel clusters
64966	64966	cincizecimii	cincizecime	Ncfsoy	cinci.ze.ci.mii	cincizec'imii	tS i n tS i z e tS i m i j	Too many vowel clusters
64967	64967	cincizecimile	cincizecime	Ncfpry	cinci.ze.ci.mi.le	cincizec'imile	tS i n tS i z e tS i m i l e	Too many vowel clusters
64968	64968	cincizecimilor	cincizecime	Ncfpoy	cinci.ze.ci.mi.lor	cincizec'imilor	tS i n tS i z e tS i m i l o r	Too many vowel clusters
68537	68537	coțcii	coțcă	Ncfsoy	coțcii	c'oțcii	k o ts tS i j	Too many vowel clusters
78534	78534	contraexemple	contraexemplu	Ncfp-n	con.tra.e.xemple	contraex'emple	k o n t r a e gz e m p l e	Too many vowel clusters
78535	78535	contraexemplu	contraexemplu	Ncms-n	con.tra.e.x.emplu	contraex'emplu	k o n t r a e gz . e m p l u	Syllable has no vowels
78536	78536	contraexemplul	contraexemplu	Ncmsry	con.tra.e.x.emplul	contraex'emplul	k o n t r a e gz . e m p l u l	Syllable has no vowels
